Subset,Model,Type,Training Time (s),Accuracy,Precision,Recall,F1-Score,AUCPR,TP,FP,TN,FN
subset_50%,Histogram - based outlier detection,UL,0.03208112716674805,0.9008286225904989,0.9981309161034791,0.9008286225904989,0.9461633985260456,0.014266314018947145,89,5640,51224,9
subset_50%,Copula Based Outlier Detector,UL,0.5206012725830078,0.8997050665355851,0.9980512502556848,0.8997050665355851,0.9455421699534765,0.0129723000757578,85,5700,51164,13
subset_50%,KNN Tuned,SL,0.7437162399291992,0.9992802219023208,0.9992427406822263,0.9992802219023208,0.999254697147037,0.6056360650365972,71,14,56850,27
subset_50%,Isolation Forest Tuned,UL,1.573058843612671,0.9920648853621713,0.997967782683488,0.9920648853621713,0.9946917573549648,0.09440922748249968,67,421,56443,31
subset_50%,Local Outlier Factor Tuned,UL,0.3722574710845947,0.9911344405041957,0.9980242635114559,0.9911344405041957,0.9942067202627786,0.0941694018685977,71,478,56386,27
subset_50%,Histogram- based outlier detection Tuned,UL,0.04004096984863281,0.8954390646395843,0.9980490214042513,0.8954390646395843,0.9431708663918845,0.012458562369427153,85,5943,50921,13
subset_50%,Random Forest Tuned,SL,0.21459412574768066,0.9990695551420246,0.9989830996400881,0.9990695551420246,0.9989953400867729,0.48417448467861546,58,13,56851,40
subset_50%,Multi-layer Perceptron Tuned,SL,2.484123706817627,0.9992451107756047,0.9992008273468602,0.9992451107756047,0.9992138806113464,0.5858299866754699,69,14,56850,29
subset_50%,XGBoost Tuned,SL,0.23171329498291016,0.9991748885221726,0.9991350329469163,0.9991748885221726,0.9991503980802984,0.5589186820622245,69,18,56846,29
subset_50%,LightGBM Tuned,SL,0.22957777976989746,0.9991924440855307,0.9991844126041269,0.9991924440855307,0.9991882885268188,0.5824791566498444,74,22,56842,24
subset_50%,CatBoost Tuned,SL,0.5367040634155273,0.9992977774656788,0.9992635791799049,0.9992977774656788,0.9992749159483431,0.6155489932946747,72,14,56850,26
subset_50%,Label Propagation Tuned,SSL,6.131142854690552,0.9991748885221726,0.9991197889062547,0.9991748885221726,0.9991357689102712,0.549314612494577,66,15,56849,32
subset_50%,Label Spreading Tuned,SSL,6.984248638153076,0.9991573329588147,0.99909826625945,0.9991573329588147,0.9991147928732069,0.5394823948153047,65,15,56849,33
subset_15%_under,Random Forest,SL,0.19786810874938965,0.9990168884519505,0.9991549119878734,0.9990168884519505,0.9990704089633828,0.5626763389970004,82,40,56824,16
subset_15%_under,Multi-layer Perceptron,SL,0.04534268379211426,0.9790913240405885,0.9980668479686271,0.9790913240405885,0.987921708897526,0.05243581055463412,80,1173,55691,18
subset_15%_under,XGBoost,SL,0.02752399444580078,0.8296583687370528,0.9975509294114152,0.8296583687370528,0.9052490467802163,0.004776401350970509,63,9668,47196,35
subset_15%_under,LightGBM,SL,0.014511585235595703,0.9982795547909132,0.996562069513544,0.9982795547909132,0.9974200728063972,0.0017204452090867595,0,0,56864,98
subset_15%_under,CatBoost,SL,0.7387776374816895,0.9990344440153085,0.9991644736656109,0.9990344440153085,0.9990850490715515,0.5673242352778539,82,39,56825,16
subset_15%_under,Label Propagation,SSL,0.022747516632080078,0.9984726659878516,0.9983601330522877,0.9984726659878516,0.9978884462745446,0.11453960576433203,12,1,56863,86
subset_15%_under,Label Spreading,SSL,0.021546125411987305,0.9984726659878516,0.9983601330522877,0.9984726659878516,0.9978884462745446,0.11453960576433203,12,1,56863,86
subset_15%_under,KNN,SL,0.5486693382263184,0.9993328885923949,0.9993328885923949,0.9993328885923949,0.9993328885923949,0.6501669584526573,79,19,56845,19
subset_15%_under,Isolation Forest,UL,1.0400607585906982,0.9574277588567817,0.9974932034810855,0.9574277588567817,0.9766192918088249,0.012571038290331345,53,2380,54484,45
subset_15%_under,Local Outlier Factor,UL,0.07757019996643066,0.998156665847407,0.9965618584276527,0.998156665847407,0.9973586246012872,0.0017204452090867595,0,7,56857,98
subset_15%_under,Histogram - based outlier detection,UL,0.03403019905090332,0.4907657736736772,0.9982135688611142,0.4907657736736772,0.6565134106771392,0.0032666432502352007,96,29005,27859,2
subset_15%_under,Copula Based Outlier Detector,UL,0.3998124599456787,0.9973491099329378,0.9978677134775922,0.9973491099329378,0.9975870777892412,0.14105510709378974,44,97,56767,54
subset_15%_under,KNN Tuned,SL,0.5510947704315186,0.9988062216916541,0.9990221122357459,0.9988062216916541,0.9988898276122076,0.5026707882095184,80,50,56814,18
subset_15%_under,Isolation Forest Tuned,UL,0.9636614322662354,0.9927495523331343,0.9974512764195592,0.9927495523331343,0.994929777875247,0.044207370447653944,41,356,56508,57
subset_15%_under,Local Outlier Factor Tuned,UL,0.0650629997253418,0.9977177767634563,0.9969876830166657,0.9977177767634563,0.9973274865774503,0.015185442879093281,8,40,56824,90
subset_15%_under,Histogram- based outlier detection Tuned,UL,0.04773736000061035,0.013658228292545907,0.9982825504845718,0.013658228292545907,0.023599408515731647,0.001741231654880779,98,56184,680,0
subset_15%_under,Random Forest Tuned,SL,0.0245211124420166,0.978792879463502,0.9981798204162481,0.978792879463502,0.9877788738727288,0.059079143948363444,86,1196,55668,12
subset_15%_under,Multi-layer Perceptron Tuned,SL,0.12226724624633789,0.7237456549980689,0.9980708791299077,0.7237456549980689,0.8380199789321937,0.005268428156479519,89,15727,41137,9
subset_15%_under,XGBoost Tuned,SL,0.031525611877441406,0.8296583687370528,0.9975509294114152,0.8296583687370528,0.9052490467802163,0.004776401350970509,63,9668,47196,35
subset_15%_under,LightGBM Tuned,SL,0.015012979507446289,0.9982795547909132,0.996562069513544,0.9982795547909132,0.9974200728063972,0.0017204452090867595,0,0,56864,98
subset_15%_under,CatBoost Tuned,SL,0.10617709159851074,0.993170885853727,0.9983069494336608,0.993170885853727,0.9953644678855365,0.15107703164660577,82,373,56491,16
subset_15%_under,Label Propagation Tuned,SSL,0.01203012466430664,0.9978582212703205,0.9987110956702894,0.9978582212703205,0.9981839941429216,0.3552405786675075,80,104,56760,18
subset_15%_under,Label Spreading Tuned,SSL,0.013900518417358398,0.9978582212703205,0.9987110956702894,0.9978582212703205,0.9981839941429216,0.3552405786675075,80,104,56760,18
subset_20%_under,Random Forest,SL,0.21345043182373047,0.9298128576946034,0.9980315871111208,0.9298128576946034,0.9619858812010015,0.01755204923181335,83,3983,52881,15
subset_20%_under,Multi-layer Perceptron,SL,0.045744895935058594,0.7585407815736807,0.998012530518875,0.7585407815736807,0.8609946879182148,0.005668389334428681,86,13742,43122,12
subset_20%_under,XGBoost,SL,0.02852320671081543,0.3877146167620519,0.9976488541565961,0.3877146167620519,0.5568902689824649,0.002306040570504539,84,34863,22001,14
subset_20%_under,LightGBM,SL,0.01150822639465332,0.9982795547909132,0.996562069513544,0.9982795547909132,0.9974200728063972,0.0017204452090867595,0,0,56864,98
subset_20%_under,CatBoost,SL,0.9007964134216309,0.8492854885713282,0.997944400390881,0.8492854885713282,0.9168275391846767,0.008039105878027251,81,8568,48296,17
subset_20%_under,Label Propagation,SSL,0.029811382293701172,0.8220041431129524,0.9964937166268368,0.8220041431129524,0.90073370445879,0.0016732967788228013,14,10055,46809,84
subset_20%_under,Label Spreading,SSL,0.03167986869812012,0.8222148098732488,0.9964941769752647,0.8222148098732488,0.9008604334695485,0.0016735337832456888,14,10043,46821,84
subset_20%_under,KNN,SL,0.5734493732452393,0.9976124433833081,0.9986195751550893,0.9976124433833081,0.9980039099009433,0.3203595270045896,78,116,56748,20
subset_20%_under,Isolation Forest,UL,1.0643761157989502,0.9573750921667076,0.9976637043844551,0.9573750921667076,0.9765998454989325,0.016615899953227386,62,2392,54472,36
subset_20%_under,Local Outlier Factor,UL,0.06782722473144531,0.9973842210596539,0.9973974978825199,0.9973842210596539,0.9973908485922427,0.06066831391483917,24,75,56789,74
subset_20%_under,Histogram - based outlier detection,UL,0.036038875579833984,0.6238193883641726,0.9980332606607559,0.6238193883641726,0.7665823147872337,0.003915975270717181,89,21419,35445,9
subset_20%_under,Copula Based Outlier Detector,UL,0.3751497268676758,0.806678136301394,0.9981193984254806,0.806678136301394,0.8913001142476853,0.007590693400364297,90,11004,45860,8
subset_20%_under,KNN Tuned,SL,0.5817110538482666,0.9166286296127243,0.997963605551839,0.9166286296127243,0.9548477645740978,0.013890334467815032,80,4731,52133,18
subset_20%_under,Isolation Forest Tuned,UL,0.9706192016601562,0.9733682103858713,0.9978712895883706,0.9733682103858713,0.9849373910129816,0.033426450889849385,71,1490,55374,27
subset_20%_under,Local Outlier Factor Tuned,UL,0.07645392417907715,0.9832344369930831,0.9971831548949365,0.9832344369930831,0.9899467328750264,0.01318038019677582,33,890,55974,65
subset_20%_under,Histogram- based outlier detection Tuned,UL,0.044045209884643555,0.06925669744742109,0.9980233360739059,0.06925669744742108,0.12654851969741285,0.001825214782035803,97,53016,3848,1
subset_20%_under,Random Forest Tuned,SL,0.024020910263061523,0.8315719251430779,0.9979777548842378,0.8315719251430779,0.9063625197691076,0.0075388373178250844,83,9579,47285,15
subset_20%_under,Multi-layer Perceptron Tuned,SL,0.19490385055541992,0.7102629823391032,0.9979670371295635,0.7102629823391032,0.8288821262334234,0.004675887007288438,85,16491,40373,13
subset_20%_under,XGBoost Tuned,SL,0.030052661895751953,0.3877146167620519,0.9976488541565961,0.3877146167620519,0.5568902689824649,0.002306040570504539,84,34863,22001,14
subset_20%_under,LightGBM Tuned,SL,0.011331558227539062,0.9982795547909132,0.996562069513544,0.9982795547909132,0.9974200728063972,0.0017204452090867595,0,0,56864,98
subset_20%_under,CatBoost Tuned,SL,0.11494159698486328,0.3960886204838313,0.9976623746912074,0.3960886204838313,0.5655441200118904,0.002334550732965397,84,34386,22478,14
subset_20%_under,Label Propagation Tuned,SSL,0.013023853302001953,0.896474842877708,0.997990021553392,0.896474842877708,0.9437489625364951,0.011787218864132473,82,5881,50983,16
subset_20%_under,Label Spreading Tuned,SSL,0.01402139663696289,0.9333590814929251,0.9979960695773724,0.9333590814929251,0.9638896009082683,0.017642739808132264,81,3779,53085,17
